Approx Duration (ms),Video Description (Original),Video Title (Original),Video Publish Timestamp
661000,"This video explains the process of measuring and reporting properties of labeled / segmented objects in images. The process is plain and simple in Python.

Code generated in the video can be downloaded from here: https://github.com/bnsreenu/python_for_microscopists",116 - Measuring properties of labeled / segmented regions,2020-04-14T07:00:14+00:00
568000,"Microscope (or other) images acquired under non-uniform illumination conditions make it challenging, sometimes impossible, to extract information via thresholding and segmentation. These images can be corrected using rolling ball background subtraction. This video explains the process of applying rolling ball background subtraction and CLAHE in Python.

Code generated in the video can be downloaded from here: https://github.com/bnsreenu/python_for_microscopists",117 - Shading correction using rolling ball background subtraction,2020-04-16T07:00:15+00:00
728000,"This video explains the process of detecting objects in an image based on a template reference  image. This process is not scale invariant, the template image must be of the same scale as the objects of interest. 

Code generated in the video can be downloaded from here: https://github.com/bnsreenu/python_for_microscopists",118 - Object detection by template matching,2020-04-21T07:00:06+00:00
363000,"This video explains the process of registering images to subpixel accuracy using python.

The register_translation function uses cross-correlation in Fourier space, 
and also by employing an upsampled matrix-multiplication DFT to achieve subpixel precision. 

Code generated in the video can be downloaded from here: https://github.com/bnsreenu/python_for_microscopists

Reference:
Manuel Guizar-Sicairos, Samuel T. Thurman, and James R. Fienup, 
“Efficient subpixel image registration algorithms,” Optics Letters 33, 156-158 (2008). 
https://pdfs.semanticscholar.org/b597/8b756bdcad061e3269eafaa69452a0c43e1b.pdf",119 - Sub-pixel image registration in Python,2020-04-23T07:00:11+00:00
742000,"There are many useful libraries in python with functions to register images. This video explains 4 different ways to register images using the functions available in image_registration and scikit-image packages. It specifically covers image registration using chi squared, cross correlation, optical flow and register_translation methods.

References:
https://image-registration.readthedocs.io/en/latest/image_registration.html
https://scikit-image.org/docs/dev/api/skimage.registration.html

Code for this tutorial is available at: https://github.com/bnsreenu/python_for_microscopists",120 - Image registration methods in python,2020-04-28T07:00:15+00:00
568000,"This video provides a review of COVID19 in India as of April 22, 2020. I've used Python based data analysis and plotting for the review. The data for the video can be downloaded from Kaggle; you need to sign up for an account to download. 
https://www.kaggle.com/sudalairajkumar/covid19-in-india

Code used in this video is available at:
https://github.com/bnsreenu/python_for_microscopists",A review of COVID19 situation in India using Python data analysis and plotting,2020-04-22T23:30:06+00:00
980000,"Pystackreg may be one-stop solution for your image registration needs. This is because it allows you to register individual images or slices in tif stacks using many registration types. Images can be registered using one of the following five methods:
1. Translation
2. Rigid body (translation + rotation)
3. Scaled rotation (translation + rotation + scaling)
4. Affine (translation + rotation + scaling + shearing)
5. Bilinear (non-linear transformation; does not preserve straight lines)

This video tutorial uses adapted code from the pystackreg documentation to demonstrate registration of microscope images. 

References: https://pypi.org/project/pystackreg/

Code generated in the video can be downloaded from here: https://github.com/bnsreenu/python_for_microscopists",121 - Image registration using pystackreg library in Python,2020-04-30T07:00:02+00:00
805000,"Hematoxylin and eosin (H&E) stain is one of the primary tissue stains for histology. This is because H stain makes nuclei easily visible in blue against a pink background of cytoplasm (and other issue regions). This enables a pathologist to easily identify and evaluate the tissue; a highly manual process.

For automated image analysis these H&E stained images need to be normalized. This is because of the significant variation in image colors arising from both sample preparation and imaging conditions.  

This video explains the python code written to normalize H&E images and also to digitally separate images corresponding H and E stains, respectively. 

The code used in the video is a python adaptation of original MATLAB code. The original code can be found here:
https://github.com/mitkovetta/staining-normalization/blob/master/normalizeStaining.m

Also, original publications and links to additional references are given below.
Workflow based on the following papers:

A method for normalizing histology slides for quantitative analysis. M. Macenko et al., ISBI 2009
http://wwwx.cs.unc.edu/~mn/sites/default/files/macenko2009.pdf

Efficient nucleus detector in histopathology images. J.P. Vink et al., J Microscopy, 2013

Other useful references:
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5226799/
https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0169875

Code generated in the video can be downloaded from here: https://github.com/bnsreenu/python_for_microscopists",122 - Normalizing H&E images and digitally separating Hematoxylin and Eosin components,2020-05-05T07:00:24+00:00
775000,"This video explains the use of a few image quality metrics in Python. 

References:
https://scikit-image.org/docs/dev/api/skimage.measure.html
https://pypi.org/project/sewar/
https://sewar.readthedocs.io/en/latest/_modules/sewar/full_ref.html#ergas

Code generated in the video can be downloaded from here: https://github.com/bnsreenu/python_for_microscopists",123 - Reference based image quality metrics,2020-05-14T07:00:22+00:00
429000,"This video explains the implementation of 'Sharpness Estimation for Document and Scene Images' by Jayant Kumar et.al

In summary, the use of difference of differences in grayscale values 
of a median-filtered image as an indicator of edge sharpness. 

References:
Sharpness Estimation for Document and Scene Images
by Jayant Kumar , Francine Chen , David Doermann
http://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=33CD0038A0D2D24AE2C4F1A30B6EF1A4?doi=10.1.1.359.7002&rep=rep1&type=pdf

https://github.com/umang-singhal/pydom
pip install git+https://github.com/umang-singhal/pydom.git

Code generated in the video can be downloaded from here: https://github.com/bnsreenu/python_for_microscopists",124 - Image quality by estimating sharpness,2020-05-19T07:00:06+00:00
721000,"Generative adversarial networks (GANs) are deep learning architectures that use two neural networks (Generator and Discriminator), competing one against the other. The generator tries to create realistic looking fake data (e.g. images) and the discriminator tries to classify whether the data is real or fake. After a few thousand (or million) epochs, the generator trained model can be used to create new fake data that can pass for real data.

This tutorial provides a quick overview of GANs. The next tutorial in the playlist covers the implemetation of GAN using Keras in Python.

References from the video: 
https://www.thispersondoesnotexist.com/
http://www.wisdom.weizmann.ac.il/~vision/courses/2018_2/Advanced_Topics_in_Computer_Vision/files/DomainTransfer.pdf

Code generated in the video can be downloaded from here: https://github.com/bnsreenu/python_for_microscopists",125 - What are Generative Adversarial Networks (GAN)?,2020-05-21T07:00:30+00:00
2014000,"Generative adversarial networks (GANs) are deep learning architectures that use two neural networks (Generator and Discriminator), competing one against the other. The generator tries to create realistic looking fake data (e.g. images) and the discriminator tries to classify whether the data is real or fake. After a few thousand (or million) epochs, the generator trained model can be used to create new fake data that can pass for real data.

This tutorial the implementation of GAN using Keras in Python. It uses fully connected dense layers for both the generator and discriminator. It also explains the use of trained model in generating realistic looking fake handwritten digits. 

References from the video: 
https://www.thispersondoesnotexist.com/
http://www.wisdom.weizmann.ac.il/~vision/courses/2018_2/Advanced_Topics_in_Computer_Vision/files/DomainTransfer.pdf

Code generated in the video can be downloaded from here: https://github.com/bnsreenu/python_for_microscopists",126 - Generative Adversarial Networks (GAN) using keras in python,2020-05-25T07:00:14+00:00
1210000,Code generated in the video can be downloaded from here: https://github.com/bnsreenu/python_for_microscopists,127 - Data augmentation using keras,2020-05-26T07:00:08+00:00
772000,"Code generated in the video can be downloaded from here: https://github.com/bnsreenu/python_for_microscopists

Dataset link: https://www.kaggle.com/datasets/iarunava/cell-images-for-detecting-malaria",128 - Malarial cell classification using CNN and data augmentation,2020-05-28T07:00:18+00:00
606000,Code generated in the video can be downloaded from here: https://github.com/bnsreenu/python_for_microscopists,"129 - What are Callbacks, Checkpoints and Early Stopping in deep learning (Keras and TensorFlow)",2020-06-01T07:00:25+00:00
590000,Code generated in the video can be downloaded from here: https://github.com/bnsreenu/python_for_microscopists,130 - Evaluating the deep learning trained model (Keras and TensorFlow),2020-06-04T07:00:04+00:00
354000,Code generated in the video can be downloaded from here: https://github.com/bnsreenu/python_for_microscopists,131 - How to load a partially trained deep learning model and continue training?,2020-06-08T07:00:01+00:00
425000,,132 - What are Activation functions in deep learning (Keras & Tensorflow)?,2020-06-11T07:00:02+00:00
410000,,133 - What are Loss functions in machine learning?,2020-06-15T07:00:00+00:00
516000,,134 - What are Optimizers in deep learning? (Keras & TensorFlow),2020-06-18T07:00:06+00:00
614000,Code generated in the video can be downloaded from here: https://github.com/bnsreenu/python_for_microscopists,135 - A quick introduction to Metrics in deep learning. (Keras & TensorFlow),2020-06-22T07:00:19+00:00
698000,Code generated in the video can be downloaded from here: https://github.com/bnsreenu/python_for_microscopists,136 understanding deep learning parameters batch size,2020-06-25T07:00:11+00:00
738000,Code generated in the video can be downloaded from here: https://github.com/bnsreenu/python_for_microscopists,137 - What is one hot encoding in machine learning?,2020-06-29T07:00:16+00:00
892000,"Scaling / Normalizing
Batchnormalization
Dropout
Using Keras

Code generated in the video can be downloaded from here: https://github.com/bnsreenu/python_for_microscopists","138 - The need for scaling, dropout, and batch normalization in deep learning",2020-07-02T07:00:09+00:00
1597000,Code generated in the video can be downloaded from here: https://github.com/bnsreenu/python_for_microscopists,"139 - The topology of deep neural networks, designing your model.",2020-07-07T07:00:06+00:00
834000,,"140 - What in the world is regression, multi-label, multi-class and binary classification?",2020-07-09T07:00:07+00:00
1307000,Code generated in the video can be downloaded from here: https://github.com/bnsreenu/python_for_microscopists,141 - Regression using Neural Networks and comparison to other models,2020-07-14T07:00:00+00:00
1163000,Code generated in the video can be downloaded from here: https://github.com/bnsreenu/python_for_microscopists,142 - Multilabel classification using Keras,2020-07-16T07:00:08+00:00
695000,Code generated in the video can be downloaded from here: https://github.com/bnsreenu/python_for_microscopists,143 - Multiclass classification using Keras,2020-07-21T07:00:08+00:00
878000,"Code generated in the video can be downloaded from here: https://github.com/bnsreenu/python_for_microscopists

Data set link : https://www.kaggle.com/datasets/iarunava/cell-images-for-detecting-malaria",144 - Binary classification using Keras,2020-07-23T07:00:08+00:00
1500000,Code generated in the video can be downloaded from here: https://github.com/bnsreenu/python_for_microscopists,"145 - Confusion matrix,  ROC and AUC in machine learning",2020-07-28T07:00:02+00:00
1506000,"This video explains the process of extracting features from multiple training images, fitting a classifier (e.g Random Forest or SVM), and segmenting images using a saved model. The video builds on topics discussed in videos 57-67 except applies it on multiple training images. 

The code from this video is available at: https://github.com/bnsreenu/python_for_microscopists

The dataset used in this video can be downloaded from the link below. This dataset can be used to train and test machine learning algorithms designed for multiclass semantic segmentation. Please read the Readme document for more information. 

https://drive.google.com/file/d/1HWtBaSa-LTyAMgf2uaz1T9o1sTWDBajU/view?usp=sharing",67b - Feature based image segmentation using traditional machine learning. (Multi-training images),2020-06-24T20:15:22+00:00
444000,"The western world can afford to purchase notebooks, Macbooks and workstations for python and deep learning. But our friends from other regions do not have the same luxury. This video provides a very brief overview of Raspberry Pi and sets stage for the next tutorial, Getting started with Google Colaboratory.",146 - Raspberry Pi - Learning python and deep learning on a tight budget,2020-08-04T07:00:15+00:00
906000,"Most of us cannot afford to purchase our own Nvidia graphics card for deep learning. Luckily, Google makes it possible for us to get started with deep learning using Tensorflow and GPU/TPU. 

This video provides a quick overview of Google Colab and walks you through the process of mounting Google Drive and getting started with deep learning using GPU acceleration.",147 - Getting started with Google Colaboratory for deep learning,2020-08-06T07:00:09+00:00
2204000,"Imbalanced data is part of life! With a proper knowledge of the data set and a few techniques from this video imbalanced data can be easily managed. 

Prerequisites: Pick the right metrics as overall accuracy does not provide information about the accuracy of individual classes. Look at confusion matrix and ROC_AUC.

Technique 0: Collect more data, if possible. 
Technique 1: Pick decision tree based approaches as they work better than logistic regression or SVM. Random Forest is a good algorithm to try but beware of over fitting. 
Technique 2: Up-sample minority class
Technique 3: Down-sample majority class 
Technique 4: A combination of Over and under sampling. 
Technique 5: Penalize learning algorithms that increase cost of classification 
mistakes on minority classes.
Technique 6: Generate synthetic data (SMOTE, ADASYN)
Technique 7: Add appropriate weights to your deep learning model. 

References:
https://imbalanced-learn.org/stable/over_sampling.html?highlight=smote
https://scikit-learn.org/stable/modules/generated/sklearn.metrics.roc_auc_score.html

Code generated in the video can be downloaded from here: https://github.com/bnsreenu/python_for_microscopists",148 - 7 techniques to work with imbalanced data for machine learning in python,2020-08-11T07:00:07+00:00
1620000,"Imbalanced data is part of life! With a proper knowledge of the data set and appropriate techniques imbalanced data can be easily managed. 

This video uses the Indian Liver Disease data (link below) to demonstrate the use of data up-scaling (and SMOTE) for minority class to improve accuracy. 

References:
Dataset:
https://www.kaggle.com/uciml/indian-liver-patient-records

ROCAUC using Yellowbrick:
https://www.scikit-yb.org/en/latest/api/classifier/rocauc.html

Code generated in the video can be downloaded from here: https://github.com/bnsreenu/python_for_microscopists",149 - Working with imbalanced data for ML - Demonstrated using liver disease data,2020-08-13T07:00:03+00:00
659000,"Image transformation operations, including the ones provided by ImageDataGenerator class from keras, modify numpy arrays based on the user description. The modification of these arrays may yield unintended results as the data may be modified from interpolation. If the user is not careful in spotting these issues the results may turn out to be meaningless. This is especially true when working with categorical labels where each label value needs to be conserved throughout the training and prediction process. 

This video walks you through this issue and also offers suggestions on how to handle data augmentation for categorical labels. Custom code for augmentation can be downloaded here: https://github.com/bnsreenu/python_for_microscopists",150 - Warning about keras' data augmentation when working with categorical labels,2020-08-18T07:00:05+00:00
387000,"Images in JPG format are excellent for social media sharing and quick email exchanges. They may also be used for scientific image analysis if the features of interest are large enough and are relatively unaffected by JPG compression. JPG cannot be used for applications requiring categorical labels, applications such as semantic segmentation. This video demonstrates the reasons behind the warning. 

Code generated in the video can be downloaded from here: https://github.com/bnsreenu/python_for_microscopists",151 Warning about JPG files when working with categorical labels,2020-08-20T07:00:07+00:00
664000,"This tutorial explains the few lines of code to visualize outputs of convolutional layers in any deep learning model. 

Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists",152 - How to visualize convolutional filter outputs in your deep learning model?,2020-08-24T23:10:31+00:00
1915000,"Want to learn about artificial neural network (ANN) from the perspective of linear regression? This tutorial explains ANN using heart disease data set and walks you through the process of calculating results using trained weights and biases. 

Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists",153 - Artificial Neural Networks - Explanation for those who understand linear regression,2020-08-26T23:44:44+00:00
1667000,"Loss curves contain a lot of information about training of an artificial neural network. This video goes through the interpretation of various loss curves generated using the Wisconsin breast cancer data set. 
https://archive.ics.uci.edu/ml/datasets/Breast+Cancer+Wisconsin+(Diagnostic)

Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists",154 - Understanding the training and validation loss curves,2020-09-01T05:00:07+00:00
358000,"A very short video to explain the process of assigning GPU memory for TensorFlow calculations. 

Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists",156 - How to limit GPU memory usage for TensorFlow?,2020-09-08T06:00:03+00:00
1133000,"TensorBoard can be very useful to view training model and loss/accuracy curves in a dashboard. This video explains the process of setting up TensorBoard callback during training and also to open the recorded logs in a browser. 

Dataset downloaded from: https://archive.ics.uci.edu/ml/datasets/Breast+Cancer+Wisconsin+(Diagnostic)

Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists",157 - What is TensorBoard and how to launch it in a browser?,2020-09-10T06:00:02+00:00
1634000,"Deep learning is far superior to traditional machine learning with loads of training data. But, for limited training data traditional machine learning (e.g. Random Forest or SVM) may outperform deep learning. For image processing applications features need to be extracted / engineered for improved accuracy. Alternatively, features can be extracted from convolutional filters that are part of convolutional neural networks. 

This video goes through the process of extracting features using convolutional filters and using them as inputs to a traditional Random Forest classifier to develop an image classification solution. This approach is specifically designed for image classification of custom datasets.

Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists",158 - Convolutional filters + Random Forest for image classification.,2020-09-15T06:00:02+00:00
1144000,"Deep learning is far superior to traditional machine learning with loads of training data. But, for limited training data traditional machine learning (e.g. Random Forest or SVM) may outperform deep learning. For image processing applications features need to be extracted / engineered for improved accuracy. Alternatively, features can be extracted from convolutional filters that are part of convolutional neural networks. 

This video goes through the process of extracting features using convolutional filters and using them as inputs to a traditional Random Forest classifier to develop an image segmentation solution. You will find this approach to be easier to implement compared to U-net and you'll also find the results to be spectacular!!!


Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists

The dataset used in this video can be downloaded from the link below. This dataset can be used to train and test machine learning algorithms designed for multiclass semantic segmentation. Please read the Readme document for more information. 

https://drive.google.com/file/d/1HWtBaSa-LTyAMgf2uaz1T9o1sTWDBajU/view?usp=sharing",159 - Convolutional filters + Random Forest for image segmentation.,2020-09-17T09:00:03+00:00
1446000,"No one can give a definite answer to the question about number of neurons and hidden layers. This is because the answer depends on the data itself. This video goes through the thought process of determining the number of hidden layers and neurons using simple code as example. 

#Dataset link:
https://cdn.scribbr.com/wp-content/uploads//2020/02/heart.data_.zip?_ga=2.217642335.893016210.1598387608-409916526.1598387608

Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists",155 - How many hidden layers and neurons do you need in your artificial neural network?,2020-09-03T06:00:04+00:00
1488000,"Data set link: https://www.epfl.ch/labs/cvlab/data/data-em/

Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists",160 - When to retrain your ML model and what is the best way to re-train?,2020-09-22T08:00:06+00:00
1099000,"Dataset from: https://www.kaggle.com/rakannimer/air-passengers

Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists",162 - An introduction to time series forecasting - Part 2 Exploring data using python,2020-09-29T08:00:16+00:00
1280000,"Dataset from: https://www.kaggle.com/rakannimer/air-passengers

Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists",163 - An introduction to time series forecasting - Part 3 Using ARIMA in python,2020-10-01T08:00:03+00:00
1256000,"Dataset from: https://www.kaggle.com/rakannimer/air-passengers

Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists",164 - An introduction to time series forecasting - Part 4 Using feed forward neural networks,2020-10-06T08:00:06+00:00
1172000,"RNN - Recurrent neural networks

Long short-term memory (LSTM) is an artificial recurrent neural network (RNN) architecture used in the field of deep learning. Unlike standard feed forward neural networks, LSTM has feedback connections.",165 - An introduction to RNN and LSTM,2020-10-08T08:00:03+00:00
1422000,"Dataset from: https://www.kaggle.com/rakannimer/air-passengers

Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists",166 - An introduction to time series forecasting - Part 5 Using LSTM,2020-10-13T08:00:00+00:00
778000,"Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists",161 - An introduction to time series forecasting - Part 1,2020-09-24T08:00:04+00:00
1534000,"This video explains the process of using pretrained weights (VGG16) as feature extractors for traditional machine learning classifiers (Random Forest). 

Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists

Keras pretrained models: https://keras.io/api/applications/",158b - Transfer learning using CNN (VGG16) as feature extractor and Random Forest classifier,2020-09-22T21:52:36+00:00
397000,A brief summary about myself...,Who is Sreeni and what does he do with the ad-revenue from his YouTube channel?,2020-09-29T17:22:09+00:00
1749000,"LSTMs are great for timeseries forecasting and sequence predictions. This makes them appropriate for natural language prediction. This tutorial explains the process of training an LSTM network on English text and predicting letters based on the training. 

Reference: https://www.gutenberg.org/
Text file link: http://www.gutenberg.org/ebooks/236

Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists",167 - Text prediction using LSTM (English text),2020-10-15T07:00:13+00:00
1135000,"LSTMs are great for timeseries forecasting and sequence predictions. This makes them appropriate for natural language prediction. This tutorial explains the process of training an LSTM network on Hindi and Telugu text and predicting letters based on the training. 

Reference: Reference: https://www.gutenberg.org/
Telugu text file: http://www.gutenberg.org/ebooks/39561

Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists",168 - Text prediction using LSTM - Non-English example using Hindi and Telugu letters.,2020-10-20T07:00:08+00:00
1310000,"For image annotation and to run this code as a workflow online:
www.apeer.com

NOTE: APEER is free to use for individuals, students, researchers and non-profits. 

Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists

The dataset used in this video can be downloaded from the link below. This dataset can be used to train and test machine learning algorithms designed for multiclass semantic segmentation. Please read the Readme document for more information. 

https://drive.google.com/file/d/1HWtBaSa-LTyAMgf2uaz1T9o1sTWDBajU/view?usp=sharing

This video explains the process of extracting features using pretrained VGG16 imagenet weights and using the feature to train a Random Forest model for semantic segmentation. You find find the results to be better than U-net for limited training data.",159b - Pretrained CNN (VGG16 - imagenet) features for semantic segmentation using Random Forest,2020-10-02T22:43:09+00:00
811000,"AutoKeras is an AutoML system based on Keras. The goal of AutoKeras is to make machine learning accessible for everyone. It suggests the best machine learning model by fitting data to various models and hyperparameters. 

This video explains the process of getting your system ready for AutoKeras installation and verifying the installation by running AutoKeras on mnist data set. 

Installation instructions: https://autokeras.com/

Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists",169 - Deep Learning made easy with AutoKeras,2020-10-22T07:00:01+00:00
948000,"AutoKeras is an AutoML system based on Keras. The goal of AutoKeras is to make machine learning accessible for everyone. It suggests the best machine learning model by fitting data to various models and hyperparameters. 

This video explains the use of AutoKeras for structured data classification. 

Installation instructions: https://autokeras.com/

Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists",170 - AutoKeras for structured data classification using the Wisconsin breast cancer data set,2020-10-27T07:00:03+00:00
730000,"AutoKeras is an AutoML system based on Keras. The goal of AutoKeras is to make machine learning accessible for everyone. It suggests the best machine learning model by fitting data to various models and hyperparameters. 

This video explains the use of AutoKeras for image classification. 

Installation instructions: https://autokeras.com/

Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists",171 - AutoKeras for image classification using cifar10 data set,2020-10-29T07:00:05+00:00
97000,,Digital Sreeni Channel name change from Python for Microscopists,2020-10-07T00:19:18+00:00
426000,"Top k accuracy is how many times the correct label is within 
the top k classes predicted by the network.

Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists",172 - Top k accuracy for multiclass machine learning classification,2020-11-05T08:00:03+00:00
893000,"Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists

The dataset used in this video can be downloaded from the link below. This dataset can be used to train and test machine learning algorithms designed for multiclass semantic segmentation. Please read the Readme document for more information. 

https://drive.google.com/file/d/1HWtBaSa-LTyAMgf2uaz1T9o1sTWDBajU/view?usp=sharing",173 - Intersection over Union (IoU) for semantic segmentation,2020-11-10T08:00:00+00:00
